occ_code,occ_title,tot_emp
00-0000,All Occupations,1921950
43-0000,Office and Administrative Support Occupations,245350
41-0000,Sales and Related Occupations,198770
35-0000,Food Preparation and Serving Related Occupations,187820
53-0000,Transportation and Material Moving Occupations,169140
25-0000,Educational Instruction and Library Occupations,129790
29-0000,Healthcare Practitioners and Technical Occupations,129270
47-0000,Construction and Extraction Occupations,125700
51-0000,Production Occupations,105470
49-0000,"Installation, Maintenance, and Repair Occupations",91990
11-0000,Management Occupations,90880
31-0000,Healthcare Support Occupations,89940
13-0000,Business and Financial Operations Occupations,73590
33-0000,Protective Service Occupations,58160
37-0000,Building and Grounds Cleaning and Maintenance Occupations,53610
39-0000,Personal Care and Service Occupations,40980
17-0000,Architecture and Engineering Occupations,31220
21-0000,Community and Social Service Occupations,27220
15-0000,Computer and Mathematical Occupations,20230
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",18630
23-0000,Legal Occupations,15000
19-0000,"Life, Physical, and Social Science Occupations",14380
45-0000,"Farming, Fishing, and Forestry Occupations",4820
